SliceLocation,SliceThickness,SpacingBetweenSlices,ImagePositionPatient,InstanceNumber,PixelSpacing
-62.9407653809,2.0,1.0,"[-130, -125.9024353, -62.9407654]",50,"[0.5078, 0.5078]"
99.0592346191,2.0,1.0,"[-130, -125.9024353, 99.0592346]",212,"[0.5078, 0.5078]"
99.0592346191,2.0,1.0,"[-130, -125.9024353, 99.0592346]",212,"[0.5078, 0.5078]"
53.0592346191,2.0,1.0,"[-130, -125.9024353, 53.0592346]",166,"[0.5078, 0.5078]"
53.0592346191,2.0,1.0,"[-130, -125.9024353, 53.0592346]",166,"[0.5078, 0.5078]"
-44.9407653809,2.0,1.0,"[-130, -125.9024353, -44.9407654]",68,"[0.5078, 0.5078]"
-44.9407653809,2.0,1.0,"[-130, -125.9024353, -44.9407654]",68,"[0.5078, 0.5078]"
-28.9407653809,2.0,1.0,"[-130, -125.9024353, -28.9407654]",84,"[0.5078, 0.5078]"
-28.9407653809,2.0,1.0,"[-130, -125.9024353, -28.9407654]",84,"[0.5078, 0.5078]"
-64.9407653809,2.0,1.0,"[-130, -125.9024353, -64.9407654]",48,"[0.5078, 0.5078]"
-64.9407653809,2.0,1.0,"[-130, -125.9024353, -64.9407654]",48,"[0.5078, 0.5078]"
-92.9407653809,2.0,1.0,"[-130, -125.9024353, -92.9407654]",20,"[0.5078, 0.5078]"
-92.9407653809,2.0,1.0,"[-130, -125.9024353, -92.9407654]",20,"[0.5078, 0.5078]"
-42.9407653809,2.0,1.0,"[-130, -125.9024353, -42.9407654]",70,"[0.5078, 0.5078]"
-42.9407653809,2.0,1.0,"[-130, -125.9024353, -42.9407654]",70,"[0.5078, 0.5078]"
43.0592346191,2.0,1.0,"[-130, -125.9024353, 43.0592346]",156,"[0.5078, 0.5078]"
43.0592346191,2.0,1.0,"[-130, -125.9024353, 43.0592346]",156,"[0.5078, 0.5078]"
80.0592346191,2.0,1.0,"[-130, -125.9024353, 80.0592346]",193,"[0.5078, 0.5078]"
80.0592346191,2.0,1.0,"[-130, -125.9024353, 80.0592346]",193,"[0.5078, 0.5078]"
92.0592346191,2.0,1.0,"[-130, -125.9024353, 92.0592346]",205,"[0.5078, 0.5078]"
92.0592346191,2.0,1.0,"[-130, -125.9024353, 92.0592346]",205,"[0.5078, 0.5078]"
-90.9407653809,2.0,1.0,"[-130, -125.9024353, -90.9407654]",22,"[0.5078, 0.5078]"
-90.9407653809,2.0,1.0,"[-130, -125.9024353, -90.9407654]",22,"[0.5078, 0.5078]"
-18.9407653809,2.0,1.0,"[-130, -125.9024353, -18.9407654]",94,"[0.5078, 0.5078]"
-18.9407653809,2.0,1.0,"[-130, -125.9024353, -18.9407654]",94,"[0.5078, 0.5078]"
8.0592346191,2.0,1.0,"[-130, -125.9024353, 8.05923462]",121,"[0.5078, 0.5078]"
8.0592346191,2.0,1.0,"[-130, -125.9024353, 8.05923462]",121,"[0.5078, 0.5078]"
-111.9407653809,2.0,1.0,"[-130, -125.9024353, -111.940765]",1,"[0.5078, 0.5078]"
-111.9407653809,2.0,1.0,"[-130, -125.9024353, -111.940765]",1,"[0.5078, 0.5078]"
30.0592346191,2.0,1.0,"[-130, -125.9024353, 30.0592346]",143,"[0.5078, 0.5078]"
30.0592346191,2.0,1.0,"[-130, -125.9024353, 30.0592346]",143,"[0.5078, 0.5078]"
-65.9407653809,2.0,1.0,"[-130, -125.9024353, -65.9407654]",47,"[0.5078, 0.5078]"
-65.9407653809,2.0,1.0,"[-130, -125.9024353, -65.9407654]",47,"[0.5078, 0.5078]"
73.0592346191,2.0,1.0,"[-130, -125.9024353, 73.0592346]",186,"[0.5078, 0.5078]"
73.0592346191,2.0,1.0,"[-130, -125.9024353, 73.0592346]",186,"[0.5078, 0.5078]"
-68.9407653809,2.0,1.0,"[-130, -125.9024353, -68.9407654]",44,"[0.5078, 0.5078]"
-68.9407653809,2.0,1.0,"[-130, -125.9024353, -68.9407654]",44,"[0.5078, 0.5078]"
-85.9407653809,2.0,1.0,"[-130, -125.9024353, -85.9407654]",27,"[0.5078, 0.5078]"
-85.9407653809,2.0,1.0,"[-130, -125.9024353, -85.9407654]",27,"[0.5078, 0.5078]"
-33.9407653809,2.0,1.0,"[-130, -125.9024353, -33.9407654]",79,"[0.5078, 0.5078]"
-33.9407653809,2.0,1.0,"[-130, -125.9024353, -33.9407654]",79,"[0.5078, 0.5078]"
-23.9407653809,2.0,1.0,"[-130, -125.9024353, -23.9407654]",89,"[0.5078, 0.5078]"
-23.9407653809,2.0,1.0,"[-130, -125.9024353, -23.9407654]",89,"[0.5078, 0.5078]"
54.0592346191,2.0,1.0,"[-130, -125.9024353, 54.0592346]",167,"[0.5078, 0.5078]"
54.0592346191,2.0,1.0,"[-130, -125.9024353, 54.0592346]",167,"[0.5078, 0.5078]"
75.0592346191,2.0,1.0,"[-130, -125.9024353, 75.0592346]",188,"[0.5078, 0.5078]"
75.0592346191,2.0,1.0,"[-130, -125.9024353, 75.0592346]",188,"[0.5078, 0.5078]"
