SliceLocation,SliceThickness,SpacingBetweenSlices,ImagePositionPatient,InstanceNumber,PixelSpacing
61.0592346191,2.0,1.0,"[-130, -125.9024353, 61.0592346]",174,"[0.5078, 0.5078]"
24.0592346191,2.0,1.0,"[-130, -125.9024353, 24.0592346]",137,"[0.5078, 0.5078]"
24.0592346191,2.0,1.0,"[-130, -125.9024353, 24.0592346]",137,"[0.5078, 0.5078]"
58.0592346191,2.0,1.0,"[-130, -125.9024353, 58.0592346]",171,"[0.5078, 0.5078]"
58.0592346191,2.0,1.0,"[-130, -125.9024353, 58.0592346]",171,"[0.5078, 0.5078]"
34.0592346191,2.0,1.0,"[-130, -125.9024353, 34.0592346]",147,"[0.5078, 0.5078]"
34.0592346191,2.0,1.0,"[-130, -125.9024353, 34.0592346]",147,"[0.5078, 0.5078]"
-95.9407653809,2.0,1.0,"[-130, -125.9024353, -95.9407654]",17,"[0.5078, 0.5078]"
-95.9407653809,2.0,1.0,"[-130, -125.9024353, -95.9407654]",17,"[0.5078, 0.5078]"
98.0592346191,2.0,1.0,"[-130, -125.9024353, 98.0592346]",211,"[0.5078, 0.5078]"
98.0592346191,2.0,1.0,"[-130, -125.9024353, 98.0592346]",211,"[0.5078, 0.5078]"
-71.9407653809,2.0,1.0,"[-130, -125.9024353, -71.9407654]",41,"[0.5078, 0.5078]"
-71.9407653809,2.0,1.0,"[-130, -125.9024353, -71.9407654]",41,"[0.5078, 0.5078]"
-55.9407653809,2.0,1.0,"[-130, -125.9024353, -55.9407654]",57,"[0.5078, 0.5078]"
-55.9407653809,2.0,1.0,"[-130, -125.9024353, -55.9407654]",57,"[0.5078, 0.5078]"
55.0592346191,2.0,1.0,"[-130, -125.9024353, 55.0592346]",168,"[0.5078, 0.5078]"
55.0592346191,2.0,1.0,"[-130, -125.9024353, 55.0592346]",168,"[0.5078, 0.5078]"
23.0592346191,2.0,1.0,"[-130, -125.9024353, 23.0592346]",136,"[0.5078, 0.5078]"
23.0592346191,2.0,1.0,"[-130, -125.9024353, 23.0592346]",136,"[0.5078, 0.5078]"
48.0592346191,2.0,1.0,"[-130, -125.9024353, 48.0592346]",161,"[0.5078, 0.5078]"
48.0592346191,2.0,1.0,"[-130, -125.9024353, 48.0592346]",161,"[0.5078, 0.5078]"
29.0592346191,2.0,1.0,"[-130, -125.9024353, 29.0592346]",142,"[0.5078, 0.5078]"
29.0592346191,2.0,1.0,"[-130, -125.9024353, 29.0592346]",142,"[0.5078, 0.5078]"
-76.9407653809,2.0,1.0,"[-130, -125.9024353, -76.9407654]",36,"[0.5078, 0.5078]"
-76.9407653809,2.0,1.0,"[-130, -125.9024353, -76.9407654]",36,"[0.5078, 0.5078]"
60.0592346191,2.0,1.0,"[-130, -125.9024353, 60.0592346]",173,"[0.5078, 0.5078]"
60.0592346191,2.0,1.0,"[-130, -125.9024353, 60.0592346]",173,"[0.5078, 0.5078]"
-48.9407653809,2.0,1.0,"[-130, -125.9024353, -48.9407654]",64,"[0.5078, 0.5078]"
-48.9407653809,2.0,1.0,"[-130, -125.9024353, -48.9407654]",64,"[0.5078, 0.5078]"
87.0592346191,2.0,1.0,"[-130, -125.9024353, 87.0592346]",200,"[0.5078, 0.5078]"
87.0592346191,2.0,1.0,"[-130, -125.9024353, 87.0592346]",200,"[0.5078, 0.5078]"
22.0592346191,2.0,1.0,"[-130, -125.9024353, 22.0592346]",135,"[0.5078, 0.5078]"
22.0592346191,2.0,1.0,"[-130, -125.9024353, 22.0592346]",135,"[0.5078, 0.5078]"
-38.9407653809,2.0,1.0,"[-130, -125.9024353, -38.9407654]",74,"[0.5078, 0.5078]"
-38.9407653809,2.0,1.0,"[-130, -125.9024353, -38.9407654]",74,"[0.5078, 0.5078]"
-84.9407653809,2.0,1.0,"[-130, -125.9024353, -84.9407654]",28,"[0.5078, 0.5078]"
-84.9407653809,2.0,1.0,"[-130, -125.9024353, -84.9407654]",28,"[0.5078, 0.5078]"
1.0592346191,2.0,1.0,"[-130, -125.9024353, 1.05923462]",114,"[0.5078, 0.5078]"
1.0592346191,2.0,1.0,"[-130, -125.9024353, 1.05923462]",114,"[0.5078, 0.5078]"
-6.9407653809,2.0,1.0,"[-130, -125.9024353, -6.94076538]",106,"[0.5078, 0.5078]"
-6.9407653809,2.0,1.0,"[-130, -125.9024353, -6.94076538]",106,"[0.5078, 0.5078]"
-53.9407653809,2.0,1.0,"[-130, -125.9024353, -53.9407654]",59,"[0.5078, 0.5078]"
-53.9407653809,2.0,1.0,"[-130, -125.9024353, -53.9407654]",59,"[0.5078, 0.5078]"
86.0592346191,2.0,1.0,"[-130, -125.9024353, 86.0592346]",199,"[0.5078, 0.5078]"
86.0592346191,2.0,1.0,"[-130, -125.9024353, 86.0592346]",199,"[0.5078, 0.5078]"
-73.9407653809,2.0,1.0,"[-130, -125.9024353, -73.9407654]",39,"[0.5078, 0.5078]"
-73.9407653809,2.0,1.0,"[-130, -125.9024353, -73.9407654]",39,"[0.5078, 0.5078]"
-74.9407653809,2.0,1.0,"[-130, -125.9024353, -74.9407654]",38,"[0.5078, 0.5078]"
-74.9407653809,2.0,1.0,"[-130, -125.9024353, -74.9407654]",38,"[0.5078, 0.5078]"
78.0592346191,2.0,1.0,"[-130, -125.9024353, 78.0592346]",191,"[0.5078, 0.5078]"
78.0592346191,2.0,1.0,"[-130, -125.9024353, 78.0592346]",191,"[0.5078, 0.5078]"
39.0592346191,2.0,1.0,"[-130, -125.9024353, 39.0592346]",152,"[0.5078, 0.5078]"
39.0592346191,2.0,1.0,"[-130, -125.9024353, 39.0592346]",152,"[0.5078, 0.5078]"
-31.9407653809,2.0,1.0,"[-130, -125.9024353, -31.9407654]",81,"[0.5078, 0.5078]"
-31.9407653809,2.0,1.0,"[-130, -125.9024353, -31.9407654]",81,"[0.5078, 0.5078]"
63.0592346191,2.0,1.0,"[-130, -125.9024353, 63.0592346]",176,"[0.5078, 0.5078]"
63.0592346191,2.0,1.0,"[-130, -125.9024353, 63.0592346]",176,"[0.5078, 0.5078]"
4.0592346191,2.0,1.0,"[-130, -125.9024353, 4.05923462]",117,"[0.5078, 0.5078]"
4.0592346191,2.0,1.0,"[-130, -125.9024353, 4.05923462]",117,"[0.5078, 0.5078]"
-97.9407653809,2.0,1.0,"[-130, -125.9024353, -97.9407654]",15,"[0.5078, 0.5078]"
-97.9407653809,2.0,1.0,"[-130, -125.9024353, -97.9407654]",15,"[0.5078, 0.5078]"
-50.9407653809,2.0,1.0,"[-130, -125.9024353, -50.9407654]",62,"[0.5078, 0.5078]"
-50.9407653809,2.0,1.0,"[-130, -125.9024353, -50.9407654]",62,"[0.5078, 0.5078]"
67.0592346191,2.0,1.0,"[-130, -125.9024353, 67.0592346]",180,"[0.5078, 0.5078]"
67.0592346191,2.0,1.0,"[-130, -125.9024353, 67.0592346]",180,"[0.5078, 0.5078]"
-30.9407653809,2.0,1.0,"[-130, -125.9024353, -30.9407654]",82,"[0.5078, 0.5078]"
-30.9407653809,2.0,1.0,"[-130, -125.9024353, -30.9407654]",82,"[0.5078, 0.5078]"
36.0592346191,2.0,1.0,"[-130, -125.9024353, 36.0592346]",149,"[0.5078, 0.5078]"
36.0592346191,2.0,1.0,"[-130, -125.9024353, 36.0592346]",149,"[0.5078, 0.5078]"
-103.9407653809,2.0,1.0,"[-130, -125.9024353, -103.940765]",9,"[0.5078, 0.5078]"
-103.9407653809,2.0,1.0,"[-130, -125.9024353, -103.940765]",9,"[0.5078, 0.5078]"
-80.9407653809,2.0,1.0,"[-130, -125.9024353, -80.9407654]",32,"[0.5078, 0.5078]"
-80.9407653809,2.0,1.0,"[-130, -125.9024353, -80.9407654]",32,"[0.5078, 0.5078]"
-79.9407653809,2.0,1.0,"[-130, -125.9024353, -79.9407654]",33,"[0.5078, 0.5078]"
-79.9407653809,2.0,1.0,"[-130, -125.9024353, -79.9407654]",33,"[0.5078, 0.5078]"
59.0592346191,2.0,1.0,"[-130, -125.9024353, 59.0592346]",172,"[0.5078, 0.5078]"
59.0592346191,2.0,1.0,"[-130, -125.9024353, 59.0592346]",172,"[0.5078, 0.5078]"
-60.9407653809,2.0,1.0,"[-130, -125.9024353, -60.9407654]",52,"[0.5078, 0.5078]"
-60.9407653809,2.0,1.0,"[-130, -125.9024353, -60.9407654]",52,"[0.5078, 0.5078]"
5.0592346191,2.0,1.0,"[-130, -125.9024353, 5.05923462]",118,"[0.5078, 0.5078]"
5.0592346191,2.0,1.0,"[-130, -125.9024353, 5.05923462]",118,"[0.5078, 0.5078]"
84.0592346191,2.0,1.0,"[-130, -125.9024353, 84.0592346]",197,"[0.5078, 0.5078]"
84.0592346191,2.0,1.0,"[-130, -125.9024353, 84.0592346]",197,"[0.5078, 0.5078]"
-11.9407653809,2.0,1.0,"[-130, -125.9024353, -11.9407654]",101,"[0.5078, 0.5078]"
-11.9407653809,2.0,1.0,"[-130, -125.9024353, -11.9407654]",101,"[0.5078, 0.5078]"
-88.9407653809,2.0,1.0,"[-130, -125.9024353, -88.9407654]",24,"[0.5078, 0.5078]"
-88.9407653809,2.0,1.0,"[-130, -125.9024353, -88.9407654]",24,"[0.5078, 0.5078]"
-5.9407653809,2.0,1.0,"[-130, -125.9024353, -5.94076538]",107,"[0.5078, 0.5078]"
-5.9407653809,2.0,1.0,"[-130, -125.9024353, -5.94076538]",107,"[0.5078, 0.5078]"
69.0592346191,2.0,1.0,"[-130, -125.9024353, 69.0592346]",182,"[0.5078, 0.5078]"
69.0592346191,2.0,1.0,"[-130, -125.9024353, 69.0592346]",182,"[0.5078, 0.5078]"
-63.9407653809,2.0,1.0,"[-130, -125.9024353, -63.9407654]",49,"[0.5078, 0.5078]"
-63.9407653809,2.0,1.0,"[-130, -125.9024353, -63.9407654]",49,"[0.5078, 0.5078]"
-45.9407653809,2.0,1.0,"[-130, -125.9024353, -45.9407654]",67,"[0.5078, 0.5078]"
-45.9407653809,2.0,1.0,"[-130, -125.9024353, -45.9407654]",67,"[0.5078, 0.5078]"
-0.9407653809,2.0,1.0,"[-130, -125.9024353, -0.940765381]",112,"[0.5078, 0.5078]"
-0.9407653809,2.0,1.0,"[-130, -125.9024353, -0.940765381]",112,"[0.5078, 0.5078]"
9.0592346191,2.0,1.0,"[-130, -125.9024353, 9.05923462]",122,"[0.5078, 0.5078]"
9.0592346191,2.0,1.0,"[-130, -125.9024353, 9.05923462]",122,"[0.5078, 0.5078]"
-36.9407653809,2.0,1.0,"[-130, -125.9024353, -36.9407654]",76,"[0.5078, 0.5078]"
-36.9407653809,2.0,1.0,"[-130, -125.9024353, -36.9407654]",76,"[0.5078, 0.5078]"
33.0592346191,2.0,1.0,"[-130, -125.9024353, 33.0592346]",146,"[0.5078, 0.5078]"
33.0592346191,2.0,1.0,"[-130, -125.9024353, 33.0592346]",146,"[0.5078, 0.5078]"
-108.9407653809,2.0,1.0,"[-130, -125.9024353, -108.940765]",4,"[0.5078, 0.5078]"
-108.9407653809,2.0,1.0,"[-130, -125.9024353, -108.940765]",4,"[0.5078, 0.5078]"
6.0592346191,2.0,1.0,"[-130, -125.9024353, 6.05923462]",119,"[0.5078, 0.5078]"
6.0592346191,2.0,1.0,"[-130, -125.9024353, 6.05923462]",119,"[0.5078, 0.5078]"
76.0592346191,2.0,1.0,"[-130, -125.9024353, 76.0592346]",189,"[0.5078, 0.5078]"
76.0592346191,2.0,1.0,"[-130, -125.9024353, 76.0592346]",189,"[0.5078, 0.5078]"
-37.9407653809,2.0,1.0,"[-130, -125.9024353, -37.9407654]",75,"[0.5078, 0.5078]"
-37.9407653809,2.0,1.0,"[-130, -125.9024353, -37.9407654]",75,"[0.5078, 0.5078]"
-67.9407653809,2.0,1.0,"[-130, -125.9024353, -67.9407654]",45,"[0.5078, 0.5078]"
-67.9407653809,2.0,1.0,"[-130, -125.9024353, -67.9407654]",45,"[0.5078, 0.5078]"
65.0592346191,2.0,1.0,"[-130, -125.9024353, 65.0592346]",178,"[0.5078, 0.5078]"
65.0592346191,2.0,1.0,"[-130, -125.9024353, 65.0592346]",178,"[0.5078, 0.5078]"
-86.9407653809,2.0,1.0,"[-130, -125.9024353, -86.9407654]",26,"[0.5078, 0.5078]"
-86.9407653809,2.0,1.0,"[-130, -125.9024353, -86.9407654]",26,"[0.5078, 0.5078]"
-15.9407653809,2.0,1.0,"[-130, -125.9024353, -15.9407654]",97,"[0.5078, 0.5078]"
-15.9407653809,2.0,1.0,"[-130, -125.9024353, -15.9407654]",97,"[0.5078, 0.5078]"
21.0592346191,2.0,1.0,"[-130, -125.9024353, 21.0592346]",134,"[0.5078, 0.5078]"
21.0592346191,2.0,1.0,"[-130, -125.9024353, 21.0592346]",134,"[0.5078, 0.5078]"
-4.9407653809,2.0,1.0,"[-130, -125.9024353, -4.94076538]",108,"[0.5078, 0.5078]"
-4.9407653809,2.0,1.0,"[-130, -125.9024353, -4.94076538]",108,"[0.5078, 0.5078]"
88.0592346191,2.0,1.0,"[-130, -125.9024353, 88.0592346]",201,"[0.5078, 0.5078]"
88.0592346191,2.0,1.0,"[-130, -125.9024353, 88.0592346]",201,"[0.5078, 0.5078]"
-3.9407653809,2.0,1.0,"[-130, -125.9024353, -3.94076538]",109,"[0.5078, 0.5078]"
-3.9407653809,2.0,1.0,"[-130, -125.9024353, -3.94076538]",109,"[0.5078, 0.5078]"
7.0592346191,2.0,1.0,"[-130, -125.9024353, 7.05923462]",120,"[0.5078, 0.5078]"
7.0592346191,2.0,1.0,"[-130, -125.9024353, 7.05923462]",120,"[0.5078, 0.5078]"
62.0592346191,2.0,1.0,"[-130, -125.9024353, 62.0592346]",175,"[0.5078, 0.5078]"
62.0592346191,2.0,1.0,"[-130, -125.9024353, 62.0592346]",175,"[0.5078, 0.5078]"
-82.9407653809,2.0,1.0,"[-130, -125.9024353, -82.9407654]",30,"[0.5078, 0.5078]"
-82.9407653809,2.0,1.0,"[-130, -125.9024353, -82.9407654]",30,"[0.5078, 0.5078]"
-81.9407653809,2.0,1.0,"[-130, -125.9024353, -81.9407654]",31,"[0.5078, 0.5078]"
-81.9407653809,2.0,1.0,"[-130, -125.9024353, -81.9407654]",31,"[0.5078, 0.5078]"
-89.9407653809,2.0,1.0,"[-130, -125.9024353, -89.9407654]",23,"[0.5078, 0.5078]"
-89.9407653809,2.0,1.0,"[-130, -125.9024353, -89.9407654]",23,"[0.5078, 0.5078]"
20.0592346191,2.0,1.0,"[-130, -125.9024353, 20.0592346]",133,"[0.5078, 0.5078]"
20.0592346191,2.0,1.0,"[-130, -125.9024353, 20.0592346]",133,"[0.5078, 0.5078]"
27.0592346191,2.0,1.0,"[-130, -125.9024353, 27.0592346]",140,"[0.5078, 0.5078]"
27.0592346191,2.0,1.0,"[-130, -125.9024353, 27.0592346]",140,"[0.5078, 0.5078]"
49.0592346191,2.0,1.0,"[-130, -125.9024353, 49.0592346]",162,"[0.5078, 0.5078]"
49.0592346191,2.0,1.0,"[-130, -125.9024353, 49.0592346]",162,"[0.5078, 0.5078]"
32.0592346191,2.0,1.0,"[-130, -125.9024353, 32.0592346]",145,"[0.5078, 0.5078]"
32.0592346191,2.0,1.0,"[-130, -125.9024353, 32.0592346]",145,"[0.5078, 0.5078]"
-106.9407653809,2.0,1.0,"[-130, -125.9024353, -106.940765]",6,"[0.5078, 0.5078]"
-106.9407653809,2.0,1.0,"[-130, -125.9024353, -106.940765]",6,"[0.5078, 0.5078]"
-10.9407653809,2.0,1.0,"[-130, -125.9024353, -10.9407654]",102,"[0.5078, 0.5078]"
-10.9407653809,2.0,1.0,"[-130, -125.9024353, -10.9407654]",102,"[0.5078, 0.5078]"
40.0592346191,2.0,1.0,"[-130, -125.9024353, 40.0592346]",153,"[0.5078, 0.5078]"
40.0592346191,2.0,1.0,"[-130, -125.9024353, 40.0592346]",153,"[0.5078, 0.5078]"
